
position[i]
i=0  thickness_a
i=1  lambda_L
i=2  Hc
i=3  xi_0
i=4  l_1
i=5  l_2
i=6  x1
i=7  x2

Delta_T_H=Delta(T)*(1+x1*(H/Hc)+x2*(H/Hc)^2)

很好的好的fit result
thickness_a   lambda_L     Hc     xi_0         l_1         l_2        x1       x2       方差    Hc单位T    κ1      κ2      H_sh1    H_sh2

6.71565e-08 3.22253e-08 119462 4.07851e-08 1.11409e-09 4.43424e-08 0.142274 -0.136402 0.363491 0.150120 4.80049 0.760916 0.096890 0.243380
8.28057e-08 3.12861e-08 136813 4.04083e-08 1.51370e-09 7.68917e-08 0.208116 -0.226959 0.193710 0.171925 4.15679 0.583228 0.119254 0.318372
9.84925e-08 3.21691e-08 138023 4.04134e-08 2.49167e-09 5.75057e-08 0.187851 -0.206616 0.225913 0.173445 3.23950 0.674323 0.136282 0.298705
9.44578e-08 3.20517e-08 141154 4.06121e-08 2.06081e-09 5.16693e-08 0.212915 -0.239557 0.193752 0.177379 3.54466 0.707908 0.133239 0.298146
8.67213e-08 3.24237e-08 119473 4.04919e-08 1.92256e-09 4.97314e-08 0.166975 -0.159022 0.214601 0.150134 3.68079 0.723711 0.110669 0.249581
9.97473e-08 3.19535e-08 139128 4.03858e-08 2.82136e-09 7.22039e-08 0.176637 -0.198260 0.311428 0.174834 3.04643 0.602198 0.141659 0.318619
6.69140e-08 3.23553e-08 124618 4.00578e-08 1.00550e-09 7.12506e-08 0.152881 -0.151311 0.326405 0.156599 5.14483 0.611177 0.097638 0.283283
以下为固定l_2为50nm
9.35970e-08 3.25588e-08 150926 4.01158e-08 2.00909e-09 5.04124e-08 0.228890 -0.275151 0.193763 0.189659 3.63441 0.725546 0.140693 0.314889
1.38552e-07 3.16201e-08 119990 4.03858e-08 3.73707e-09 5.02830e-08 0.144516 -0.137075 0.319379 0.150784 2.64700 0.721621 0.131067 0.251025
1.42446e-07 3.18974e-08 121034 4.03353e-08 3.86784e-09 5.03522e-08 0.145274 -0.140812 0.326263 0.152096 2.60513 0.722027 0.133266 0.253138
9.69447e-08 3.22345e-08 126108 4.07347e-08 2.16205e-09 5.05824e-08 0.189939 -0.190980 0.193766 0.158472 3.45026 0.713320 0.120654 0.265354
1.00584e-07 3.29464e-08 126077 4.07810e-08 2.36833e-09 5.01382e-08 0.178216 -0.176216 0.240640 0.158432 3.29283 0.715659 0.123474 0.264854
1.49873e-07 3.20138e-08 131825 4.06056e-08 3.71617e-09 5.08826e-08 0.172405 -0.182592 0.248326 0.165656 2.64007 0.713475 0.144183 0.277353

