

 400.00_NER,    -0.45362204550812848E-002_NER,    -0.13453680437243954E-002_NER,     0.19834490170876779E-007_NER,    -0.43852897704591860E-003_NER,     0.49384255897767884E-007_NER,    -0.20394496997573814E-012_NER
 600.00_NER,    -0.38406813239897229E-002_NER,    -0.18411581667390157E-002_NER,     0.12608601557519471E-007_NER,    -0.55723900112175206E-003_NER,     0.47814958958029529E-007_NER,     0.25578467287490431E-013_NER
 800.00_NER,    -0.34966929536318931E-002_NER,    -0.21834918943006622E-002_NER,     0.85038477115470367E-008_NER,     0.32787642023474711E-004_NER,     0.44310334076928225E-007_NER,     0.81865700775753963E-013_NER
1000.00_NER,    -0.32876394447695651E-002_NER,    -0.24597883753456735E-002_NER,     0.61322672394983878E-008_NER,     0.17881649124759011E-002_NER,     0.39696496256580374E-007_NER,     0.95865165052698880E-013_NER
1200.00_NER,    -0.31455013488779129E-002_NER,    -0.26944519049797353E-002_NER,     0.46464203852108634E-008_NER,     0.50924976941390965E-002_NER,     0.34648676147766179E-007_NER,     0.95618834196890148E-013_NER
1600.00_NER,    -0.29624452117871830E-002_NER,    -0.30790020353651726E-002_NER,     0.29521778559728137E-008_NER,     0.17667313727280708E-001_NER,     0.24390859111462076E-007_NER,     0.83613275924346497E-013_NER
2000.00_NER,    -0.28482876691298970E-002_NER,    -0.33848004214673453E-002_NER,     0.20523224368066303E-008_NER,     0.40047917230912437E-001_NER,     0.14632269235241800E-007_NER,     0.70158647339550685E-013_NER
2400.00_NER,    -0.27696576973864980E-002_NER,    -0.36355695275737975E-002_NER,     0.15142860882823484E-008_NER,     0.74067394255791105E-001_NER,     0.56307369279527190E-008_NER,     0.58816064841406372E-013_NER
3200.00_NER,    -0.26676447489145500E-002_NER,    -0.40249009369328469E-002_NER,     0.92630933550736386E-009_NER,     0.18273763913656044E+000_NER,    -0.10102872540108799E-007_NER,     0.42520340268177866E-013_NER
4000.00_NER,    -0.26039316033964321E-002_NER,    -0.43150630095084149E-002_NER,     0.62693152940156162E-009_NER,     0.35291159125869387E+000_NER,    -0.23256795256428784E-007_NER,     0.32055144292172081E-013_NER
4800.00_NER,    -0.25601727387601241E-002_NER,    -0.45408228664436277E-002_NER,     0.45325819850271276E-009_NER,     0.59133600551812249E+000_NER,    -0.34391479633088337E-007_NER,     0.25038489024486726E-013_NER
5600.00_NER,    -0.25281892573518708E-002_NER,    -0.47221389785734166E-002_NER,     0.34333336736781385E-009_NER,     0.90318063787660496E+000_NER,    -0.43948570799705127E-007_NER,     0.20121940266711043E-013_NER
6400.00_NER,    -0.25037577496736141E-002_NER,    -0.48713495559893540E-002_NER,     0.26926140243179203E-009_NER,     0.12926903931332221E+001_NER,    -0.52271470469202158E-007_NER,     0.16546445529355018E-013_NER
7000.00_NER,    -0.24889006425897779E-002_NER,    -0.49671357358490762E-002_NER,     0.22847105666815310E-009_NER,     0.16379649798470159E+001_NER,    -0.57858951532629871E-007_NER,     0.14468260691156930E-013_NER
8000.00_NER,    -0.24688428692961699E-002_NER,    -0.51031385018814072E-002_NER,     0.17856690492544934E-009_NER,     0.23179866788505170E+001_NER,    -0.66124833438723185E-007_NER,     0.11796632281428013E-013_NER
9000.00_NER,    -0.24530333575952909E-002_NER,    -0.52163975455933121E-002_NER,     0.14345933900751982E-009_NER,     0.31319942593761967E+001_NER,    -0.73277466939736307E-007_NER,     0.98128527636465367E-014_NER
9600.00_NER,    -0.24450560176167350E-002_NER,    -0.52758556907379827E-002_NER,     0.12717236004444695E-009_NER,     0.36864403080246757E+001_NER,    -0.77136934741886377E-007_NER,     0.88582725810626601E-014_NER
